,,,,,,,,,,,ORDEN,SERVICIO,,,
,,,,,,,,,,,5,,4,3,2
ORIGEN,LINEA,DESTINO,TIPO/NEGOCIACION,DIAS LIBRES,VIGENCIA DESDE ,VIGENCIA HASTA,AGENTE,CONTRATO,TT,MONEDA,20 GP,,40 GP,40 HC,40 NOR
ANQING,Maersk A/S trading as Sealand Americas.,POSORJA,AGENTE PROPIO,21,05/01/2026,11/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,298430991,35-42,DOLAR,"$ 1,320.00",,"$ 1,690.00","$ 1,690.00",
ANQING,Maersk A/S trading as Sealand Americas.,POSORJA,AGENTE PROPIO,21,12/01/2026,18/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,298430991,35-42,DOLAR,"$ 1,170.00",,"$ 1,390.00","$ 1,390.00",
ANQING,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,40-45,DOLAR,"$ 1,234.00",,"$ 1,452.00","$ 1,452.00",
ANQING,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,40-45,DOLAR,"$ 1,234.00",,"$ 1,452.00","$ 1,452.00",
ANQING,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,18/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,40-45,DOLAR,"$ 1,084.00",,"$ 1,252.00","$ 1,252.00",
ANQING,MEDITERRANEAN SHIPPING COMPANY,GUAYAQUIL,AGENTE PROPIO,21,08/01/2026,18/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,308-88880-ST,40-45,DOLAR,"$ 1,084.00",,"$ 1,252.00","$ 1,252.00",
ANQING,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,15,24/12/2025,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,HKGN03275A,50-50,DOLAR,"$ 1,365.00",,"$ 1,690.00","$ 1,690.00",
ANQING,OCEAN NETWORK EXPRESS PTE. LTD.,GUAYAQUIL,AGENTE PROPIO,15,08/01/2026,14/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,HKGN03275A,50-50,DOLAR,"$ 1,165.00",,"$ 1,490.00","$ 1,490.00",
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,215.00",,"$ 1,640.00","$ 1,640.00",
ANQING,ZIM INTEGRATED SHIPPING SERVICES,GUAYAQUIL,AGENTE PROPIO,21,05/01/2026,07/01/2026,AIR SEA WORLDWIDE (CHINA) LTD.                                                                      ,7110442322,29-33,DOLAR,"$ 1,240.00",,"$ 1,640.00","$ 1,640.00",
